timestamp,x,y,cs_x,cs_y
1762729756.075157,-1.314061,-0.163128,0.100586,3.269754
1762729756.125861,-1.318089,-0.165711,0.100342,3.249988
1762729756.174027,-1.315638,-0.167831,0.099063,3.254705
1762729756.224773,-1.314607,-0.167464,0.098903,3.248260
1762729756.274048,-1.314179,-0.169097,0.096598,3.248947
1762729756.324186,-1.322233,-0.163711,0.095918,3.260235
1762729756.374017,-1.316467,-0.167192,0.097720,3.264432
1762729756.424143,-1.314434,-0.166699,0.098689,3.256880
1762729756.476021,-1.316910,-0.167803,0.098659,3.264772
1762729756.526621,-1.318893,-0.163901,0.102543,3.257145
1762729756.576167,-1.314131,-0.168716,0.099045,3.248266
1762729756.627503,-1.314053,-0.166933,0.101054,3.258313
1762729756.674385,-1.317304,-0.164860,0.099412,3.261801
1762729756.724802,-1.313189,-0.167088,0.097107,3.261877
1762729756.774256,-1.316240,-0.167708,0.098781,3.256956
1762729756.824904,-1.315506,-0.167676,0.098459,3.260199
1762729756.880119,-1.317640,-0.167538,0.096992,3.263485
1762729756.924805,-1.317152,-0.165827,0.099416,3.253444
1762729756.978993,-1.315821,-0.167560,0.097441,3.253091
1762729757.024360,-1.314110,-0.168305,0.096590,3.268735
1762729757.074213,-1.315414,-0.167058,0.098692,3.251301
1762729757.125752,-1.316701,-0.168224,0.095483,3.254566
1762729757.174171,-1.312536,-0.168388,0.096258,3.255535
1762729757.224191,-1.314047,-0.167271,0.096909,3.260944
1762729757.274344,-1.314215,-0.167829,0.100018,3.253828
1762729757.325864,-1.314458,-0.165923,0.098039,3.254800
1762729757.377766,-1.313651,-0.168573,0.098201,3.264347
1762729757.426808,-1.313725,-0.167440,0.099663,3.257921
1762729757.479080,-1.314318,-0.168878,0.096577,3.260801
1762729757.524423,-1.317655,-0.166051,0.098465,3.246107
1762729757.575516,-1.313525,-0.167641,0.100892,3.260171
1762729757.624384,-1.316927,-0.166956,0.099911,3.254072
1762729757.681648,-1.315023,-0.169604,0.096275,3.250621
1762729757.724906,-1.314961,-0.167785,0.097094,3.270492
1762729757.775558,-1.318860,-0.167412,0.095425,3.257337
1762729757.824952,-1.317980,-0.166988,0.097482,3.265480
1762729757.875444,-1.314632,-0.167221,0.097146,3.255923
1762729757.927128,-1.315162,-0.167122,0.097765,3.259846
1762729757.977075,-1.315130,-0.167470,0.095820,3.258077
1762729758.024060,-1.315621,-0.166725,0.099442,3.258274
1762729758.075603,-1.316391,-0.168294,0.094327,3.257231
1762729758.129008,-1.314070,-0.166920,0.099363,3.263162
1762729758.174854,-1.316200,-0.166879,0.099194,3.258626
1762729758.224223,-1.315703,-0.167469,0.096277,3.248355
1762729758.274898,-1.317638,-0.166665,0.096245,3.255926
1762729758.324184,-1.315440,-0.165165,0.099156,3.255263
1762729758.374277,-1.313911,-0.166633,0.099652,3.255997
1762729758.424222,-1.317679,-0.165588,0.098579,3.258128
1762729758.476984,-1.319096,-0.165311,0.097189,3.265575
1762729758.524969,-1.317797,-0.166659,0.096082,3.256433
1762729758.577770,-1.313632,-0.167189,0.097340,3.259788
1762729758.624326,-1.316435,-0.164741,0.102953,3.253850
1762729758.674389,-1.319226,-0.165690,0.097771,3.266626
1762729758.724735,-1.312701,-0.168208,0.096307,3.265182
1762729758.775479,-1.315682,-0.167560,0.095273,3.271563
1762729758.824909,-1.313895,-0.167381,0.100770,3.246497
1762729758.875072,-1.316621,-0.166450,0.098034,3.250998
1762729758.924459,-1.311669,-0.169115,0.099053,3.262366
1762729758.974272,-1.315419,-0.167998,0.101016,3.250257
1762729759.025720,-1.313352,-0.168142,0.098207,3.254972
1762729759.074058,-1.315236,-0.168274,0.098442,3.261690
1762729759.124558,-1.315407,-0.167795,0.096967,3.264105
1762729759.176204,-1.315611,-0.167566,0.100758,3.264321
1762729759.224325,-1.312606,-0.168105,0.099753,3.260358
1762729759.276426,-1.315379,-0.165776,0.098492,3.267100
1762729759.327513,-1.317907,-0.164283,0.101419,3.250687
1762729759.374309,-1.316727,-0.166781,0.098058,3.255287
1762729759.424188,-1.318111,-0.165562,0.096976,3.262549
1762729759.475188,-1.313522,-0.168777,0.102196,3.251186
1762729759.525793,-1.313494,-0.166852,0.098981,3.266334
1762729759.579048,-1.314512,-0.170222,0.096170,3.250735
1762729759.624373,-1.314511,-0.166921,0.100757,3.249464
1762729759.674345,-1.312974,-0.167739,0.099697,3.268027
1762729759.725307,-1.317542,-0.165870,0.097325,3.269621
1762729759.776806,-1.312806,-0.168568,0.098573,3.252046
1762729759.827519,-1.315548,-0.165469,0.099418,3.267559
1762729759.874199,-1.317243,-0.166301,0.097096,3.257928
1762729759.925893,-1.315337,-0.168662,0.098363,3.248101
1762729759.976905,-1.314694,-0.166574,0.098360,3.251706
1762729760.029155,-1.317369,-0.165272,0.099717,3.264591
1762729760.074065,-1.315201,-0.166189,0.100139,3.262721
1762729760.124596,-1.317224,-0.166101,0.098142,3.246550
1762729760.174416,-1.314127,-0.168855,0.098203,3.256877
1762729760.223915,-1.318567,-0.163166,0.099124,3.255622
1762729760.273995,-1.313960,-0.168310,0.097652,3.252663
1762729760.324050,-1.316034,-0.167836,0.095992,3.250694
1762729760.374344,-1.312573,-0.167547,0.100443,3.255426
1762729760.424065,-1.315311,-0.168105,0.097351,3.256684
1762729760.474082,-1.314706,-0.167950,0.096763,3.263278
1762729760.523902,-1.316181,-0.165501,0.102327,3.262277
1762729760.573991,-1.314195,-0.167009,0.098615,3.266182
1762729760.624106,-1.314693,-0.168416,0.096226,3.261185
1762729760.675889,-1.318083,-0.165443,0.098389,3.259338
1762729760.724168,-1.317763,-0.165047,0.100324,3.258134
1762729760.774362,-1.316767,-0.166512,0.097388,3.262593
1762729760.825105,-1.315480,-0.166079,0.099030,3.258820
1762729760.875113,-1.314119,-0.168631,0.097158,3.265452
1762729760.925156,-1.315952,-0.166278,0.101040,3.259394
1762729760.974134,-1.315123,-0.169248,0.096720,3.263125
1762729761.024182,-1.313901,-0.168488,0.098032,3.254153
1762729761.074920,-1.315164,-0.165985,0.098130,3.261858
1762729761.127715,-1.317159,-0.165551,0.098488,3.261077
1762729761.174042,-1.314309,-0.168886,0.097698,3.255388
1762729761.228894,-1.318563,-0.165398,0.098944,3.260456
1762729761.274023,-1.311710,-0.169935,0.099726,3.255968
1762729761.326480,-1.313369,-0.170041,0.096347,3.258037
1762729761.374399,-1.314908,-0.168088,0.096399,3.257520
1762729761.424109,-1.315500,-0.167246,0.099278,3.261529
1762729761.473953,-1.316839,-0.165171,0.099033,3.254983
1762729761.525758,-1.312283,-0.168494,0.101858,3.257681
1762729761.573968,-1.315276,-0.166933,0.100082,3.252684
1762729761.625193,-1.316141,-0.166439,0.099501,3.264677
1762729761.676579,-1.317074,-0.166888,0.098815,3.251806
1762729761.729014,-1.316265,-0.165472,0.099762,3.259538
1762729761.774017,-1.317159,-0.165853,0.101721,3.247369
1762729761.824419,-1.311898,-0.169107,0.099062,3.254380
1762729761.874055,-1.317081,-0.166975,0.098636,3.264323
1762729761.927756,-1.315242,-0.167420,0.098902,3.260040
1762729761.979045,-1.315370,-0.166479,0.099919,3.254607
1762729762.025815,-1.314072,-0.168844,0.098285,3.253216
1762729762.074549,-1.316333,-0.166585,0.101857,3.243236
1762729762.124801,-1.315150,-0.167463,0.097132,3.264427
