timestamp,x,y,cs_x,cs_y
1756890212.756578,-1.314061,-0.163128,0.100586,3.269754
1756890212.856623,-1.315638,-0.167831,0.099063,3.254705
1756890212.956667,-1.314179,-0.169097,0.096598,3.248947
1756890213.056712,-1.316467,-0.167192,0.097720,3.264432
1756890213.156756,-1.316910,-0.167803,0.098659,3.264772
1756890213.256801,-1.314131,-0.168716,0.099045,3.248266
1756890213.323497,-1.317304,-0.164860,0.099412,3.261801
1756890213.423541,-1.316240,-0.167708,0.098781,3.256956
1756890213.490237,-1.317640,-0.167538,0.096992,3.263485
1756890213.590283,-1.315821,-0.167560,0.097441,3.253091
1756890213.690328,-1.315414,-0.167058,0.098692,3.251301
1756890213.823721,-1.312536,-0.168388,0.096258,3.255535
1756890213.957115,-1.314215,-0.167829,0.100018,3.253828
1756890214.057161,-1.313651,-0.168573,0.098201,3.264347
1756890214.157205,-1.314318,-0.168878,0.096577,3.260801
1756890214.257251,-1.313525,-0.167641,0.100892,3.260171
1756890214.357296,-1.315023,-0.169604,0.096275,3.250621
1756890214.457342,-1.318860,-0.167412,0.095425,3.257337
1756890214.557385,-1.314632,-0.167221,0.097146,3.255923
1756890214.624081,-1.315130,-0.167470,0.095820,3.258077
1756890214.724125,-1.316391,-0.168294,0.094327,3.257231
1756890214.824169,-1.316200,-0.166879,0.099194,3.258626
1756890214.957561,-1.317638,-0.166665,0.096245,3.255926
1756890215.057605,-1.313911,-0.166633,0.099652,3.255997
1756890215.157648,-1.319096,-0.165311,0.097189,3.265575
1756890215.257693,-1.313632,-0.167189,0.097340,3.259788
1756890215.357736,-1.319226,-0.165690,0.097771,3.266626
1756890215.457780,-1.315682,-0.167560,0.095273,3.271563
1756890215.557824,-1.316621,-0.166450,0.098034,3.250998
1756890215.657868,-1.315419,-0.167998,0.101016,3.250257
1756890215.757912,-1.315236,-0.168274,0.098442,3.261690
1756890215.824608,-1.315611,-0.167566,0.100758,3.264321
1756890215.924652,-1.315379,-0.165776,0.098492,3.267100
1756890215.991348,-1.316727,-0.166781,0.098058,3.255287
1756890216.091391,-1.313522,-0.168777,0.102196,3.251186
1756890216.158087,-1.314512,-0.170222,0.096170,3.250735
1756890216.258132,-1.312974,-0.167739,0.099697,3.268027
1756890216.358175,-1.312806,-0.168568,0.098573,3.252046
1756890216.491567,-1.317243,-0.166301,0.097096,3.257928
1756890216.591612,-1.314694,-0.166574,0.098360,3.251706
1756890216.691657,-1.315201,-0.166189,0.100139,3.262721
1756890216.825050,-1.314127,-0.168855,0.098203,3.256877
1756890216.925095,-1.313960,-0.168310,0.097652,3.252663
1756890217.058488,-1.312573,-0.167547,0.100443,3.255426
1756890217.158532,-1.314706,-0.167950,0.096763,3.263278
1756890217.258578,-1.314195,-0.167009,0.098615,3.266182
1756890217.358622,-1.318083,-0.165443,0.098389,3.259338
1756890217.458617,-1.316767,-0.166512,0.097388,3.262593
1756890217.558889,-1.314119,-0.168631,0.097158,3.265452
1756890217.659167,-1.315123,-0.169248,0.096720,3.263125
1756890217.759448,-1.315164,-0.165985,0.098130,3.261858
1756890217.826305,-1.314309,-0.168886,0.097698,3.255388
1756890217.926594,-1.311710,-0.169935,0.099726,3.255968
1756890217.993456,-1.314908,-0.168088,0.096399,3.257520
1756890218.127185,-1.316839,-0.165171,0.099033,3.254983
1756890218.227486,-1.315276,-0.166933,0.100082,3.252684
1756890218.294356,-1.317074,-0.166888,0.098815,3.251806
1756890218.394666,-1.317159,-0.165853,0.101721,3.247369
1756890218.461606,-1.317081,-0.166975,0.098636,3.264323
1756890218.528287,-1.315370,-0.166479,0.098285,3.253216
1756890218.628307,-1.316333,-0.166585,0.101857,3.243236
1756890218.694988,-1.317504,-0.168483,0.094374,3.264869
1756890218.795008,-1.314903,-0.167446,0.097682,3.260687
1756890218.895027,-1.318414,-0.166244,0.099865,3.254114
1756890218.995046,-1.314605,-0.166290,0.099811,3.262704
1756890219.128403,-1.314789,-0.166504,0.099733,3.257790
1756890219.195081,-1.315012,-0.166526,0.101504,3.258268
1756890219.328437,-1.314136,-0.167792,0.098704,3.237310
1756890219.395114,-1.315767,-0.166924,0.097577,3.257487
1756890219.528472,-1.315742,-0.165765,0.100984,3.261858
1756890219.595153,-1.316450,-0.165722,0.097524,3.260695
1756890219.728514,-1.314290,-0.168223,0.098765,3.250297
1756890219.795194,-1.315531,-0.165575,0.101122,3.255323
1756890219.928553,-1.315123,-0.168801,0.099947,3.232575
1756890219.995232,-1.314591,-0.169006,0.095216,3.236967
1756890220.128590,-1.314761,-0.166838,0.097865,3.249440
1756890220.195269,-1.314839,-0.169431,0.098853,3.235697
1756890220.295285,-1.317805,-0.165107,0.101682,3.250605
1756890220.428640,-1.314681,-0.166834,0.097694,3.244805
1756890220.495318,-1.314060,-0.167949,0.100158,3.251120
1756890220.628679,-1.315922,-0.164502,0.098867,3.253449
1756890220.695359,-1.315918,-0.165666,0.098116,3.246143
1756890220.795378,-1.313051,-0.165132,0.097888,3.245007
1756890220.928737,-1.309280,-0.164287,0.101105,3.245932
1756890220.995415,-1.308167,-0.164058,0.099435,3.249086
1756890221.095432,-1.299320,-0.164422,0.097548,3.254860
1756890221.195450,-1.296163,-0.157678,0.099405,3.253020
1756890221.295465,-1.281166,-0.151324,0.101751,3.242203
1756890221.395481,-1.258039,-0.151734,0.101057,3.249574
1756890221.495497,-1.233456,-0.146426,0.099946,3.248858
1756890221.595517,-1.210638,-0.138402,0.098673,3.259956
1756890221.695536,-1.177131,-0.136320,0.099089,3.250537
1756890221.795556,-1.144570,-0.131952,0.098500,3.258774
1756890221.895573,-1.113971,-0.124374,0.098425,3.256502
1756890222.028930,-1.084723,-0.117537,0.099038,3.263848
1756890222.195625,-1.053136,-0.112623,0.098659,3.260107
1756890222.295640,-1.035801,-0.108031,0.099071,3.246181
1756890222.428994,-1.010111,-0.100417,0.097260,3.244657
1756890222.529013,-0.987811,-0.089520,0.097702,3.243651
1756890222.629034,-0.963080,-0.076083,0.098015,3.246017
1756890222.729056,-0.932426,-0.061191,0.098273,3.251524
1756890222.795737,-0.909895,-0.048124,0.098292,3.247464
1756890222.862417,-0.882876,-0.039950,0.096067,3.247322
1756890222.962436,-0.852027,-0.026525,0.096522,3.250786
1756890223.062457,-0.817813,-0.020223,0.102108,3.254276
1756890223.095796,-0.810973,-0.020183,0.099059,3.238782
1756890223.229154,-0.779244,-0.015342,0.098556,3.249363
1756890223.295833,-0.771923,-0.013608,0.097697,3.242534
